,ch1_mean,ch1_std,ch1_rms,ch1_skew,ch1_kurt,ch1_crest,ch2_mean,ch2_std,ch2_rms,ch2_skew,ch2_kurt,ch2_crest,ch3_mean,ch3_std,ch3_rms,ch3_skew,ch3_kurt,ch3_crest,ch1_spec_cent,ch1_spec_bw,ch1_en_lo,ch1_en_mid,ch1_en_hi,ch2_spec_cent,ch2_spec_bw,ch2_en_lo,ch2_en_mid,ch2_en_hi,ch3_spec_cent,ch3_spec_bw,ch3_en_lo,ch3_en_mid,ch3_en_hi,label
count,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0
mean,8.264846885060066e-05,0.989718772016943,0.989773291332912,-0.013635595709247309,-0.45255116955617086,2.4369484369570125,0.00018446074394276436,0.9990559995437797,0.9991171822366696,0.04085498377484109,0.11631143704407135,3.144411387294684,0.0031560356342823156,0.9937585826681478,0.9940687733067045,-0.46380942032753025,-0.7753617022680052,2.586089258274424,254.28078712552613,132.56808456185902,27108.7833503476,212139.80476249894,258493.09101845746,245.09055834225276,137.62606015124587,43474.80744504648,228922.23798116107,231615.59450321595,251.51343465470418,126.45225418579295,4594.693499756362,315367.0856842472,175210.57885867154,0.5318181818181819
std,0.010396845560079752,0.1296455946004123,0.12964608110152692,0.14982323822812438,1.0053655518448232,0.6622278127898961,0.011050691695790892,0.10426928266494269,0.10426849833868503,0.1550506422223818,0.8128734672305649,0.7248298859454578,0.024613619913267482,0.05981610053411661,0.05980672831092385,0.15841885075941511,0.7819759082895302,1.0154696613094447,31.490444980754845,7.279071866602234,26923.76020841339,129881.88294291912,195338.29474815744,19.863482822567526,6.528363991406235,75268.21755069603,70788.01613408279,126059.9464751463,11.578935992654834,5.10653101834224,3325.7020229151112,110396.58235609914,116663.63044637283,0.49911263073923845
min,-0.0574474954394088,0.0964225997558648,0.0967859110382147,-0.8052342348044895,-1.3091301594271458,1.564834708339572,-0.0437385526672312,0.1560175980441178,0.1560185203199197,-0.61507202133076,-0.4943467963364987,2.1917525827366315,-0.112975314732169,0.8146676942208778,0.8162258709049816,-0.9243191942901804,-1.787163219650348,1.270534882389029,192.8338255865507,117.97574494257157,352.04279107693816,1457.3360239037306,2810.9328522658275,202.50131257081603,123.04003089075192,3151.707194222434,2020.0895902854488,6986.449984945675,216.96938886883945,116.7766242493788,1246.7198787777534,66360.04378198084,35289.51590441665,0.0
25%,-0.0054877843187452,0.9602676483352748,0.9602782720127413,-0.15424358324764678,-1.060291622611236,1.673310455305082,-0.006668376352750525,0.9763322651806716,0.9763480536159876,0.004224669688931475,-0.17200780460897208,2.374939415448403,-0.007101027602800475,0.9751006897071413,0.9751298110693019,-0.571914774780241,-1.7157374895335777,1.3124872483029737,213.7684171513973,126.80014170247354,5482.738441968238,109850.90522768347,62048.34557634106,220.7737181274232,132.71248060130856,10755.500279277683,176902.07464652095,101577.17782026684,240.4373438702525,121.82449615637437,2438.8546257688668,238968.52846285325,58953.4368432794,0.0
50%,9.261848649732519e-05,0.9970725344946998,0.9972268769393384,-0.027145029777525,-0.33131984299674655,2.754335046228454,0.0004324347715903,1.0013660000536972,1.0014295039922927,0.08275514235603075,-0.07444601383540966,3.129520970614594,0.0007906136580994,1.0000666439270693,1.000083845981403,-0.4078075088967277,-0.5261697470312816,3.0272340523207886,273.8173453921138,129.6238325683484,7663.485103324721,139663.39060293577,277977.1742839287,255.06901845990194,136.73142737896382,16773.392719894942,219276.47341096995,250591.72925195357,253.70906977146808,125.39185332524724,3906.9778358647122,298709.2465136866,177935.75086606998,1.0
75%,0.006245714665672375,1.0180615182623556,1.0180881839675737,0.09468224096289228,-0.039222179767781175,2.9528984842575063,0.0070190773812944,1.0235458960640746,1.0235685437510447,0.13107260500393758,0.1566794728000191,3.617873457238156,0.009990492777202974,1.0133550277046373,1.0133980691560043,-0.3362075799622513,-0.23352819996521526,3.3846555632319335,278.89580483752775,138.53629601836928,53827.1740632355,379315.31515149545,356729.24938154593,260.378137461504,144.49675324954077,84054.15559079105,305352.2319386176,314294.01878270495,258.5528141317703,131.49261395043118,4991.536404757345,438001.3040815188,224410.02084074018,1.0
max,0.0450745109782669,2.530663766704468,2.530663770017304,0.4211426657282983,29.44901430571101,8.956319602817784,0.0456761327117385,2.7471914482065944,2.747565450285177,0.44192306197823,19.77125622092428,9.88949813057634,0.1201141228580635,1.283477826578363,1.286756900401039,-0.1907075696849011,1.102243078264551,4.969761940305086,290.750912072393,151.549592397323,397472.09070018615,593765.9262265435,2206850.00411371,274.08540674277754,148.69028801831257,1935993.1571665008,364647.4955914255,1597181.9835235823,284.0851619354606,136.00626773616133,21405.750795820917,466274.439534404,608837.2853155318,1.0
